id,account_age,no_of_follower,no_of_following,no_user_fav,no_list,no_tweet,num_char,num_digit,num_url,num_hashtag,num_user_mention,num_rt,is_spam
1634,3517,777,1264,14285,28,12197,36,0,1,0,1,245,False
1635,3401,1292,3221,65153,132,20823,36,0,1,0,1,245,False
1636,2489,155,2324,6692,0,1581,36,0,1,0,1,245,False
1637,3376,39820,12041,1158,1442,26826,36,0,1,0,1,245,False
1638,3379,96294,2186,79577,940,9740,36,0,1,0,1,245,False
1639,3155,1724,5001,40942,1008,406351,36,0,1,0,1,245,False
1640,1628,379,765,40615,5,53112,36,0,1,0,1,245,False
1641,3279,32,69,9781,0,3283,36,0,1,0,1,245,False
1642,3279,32,69,9781,0,3283,36,0,1,0,1,245,False
1643,1552,171,231,13576,5,11782,36,0,1,0,1,245,False
1644,3589,1752,3780,10841,127,9950,36,0,1,0,1,245,False
1645,2818,612,314,11080,31,30826,36,0,1,0,1,245,False
1646,2580,255,507,4128,24,2098,36,0,1,0,1,245,False
1647,3373,119,364,1440,0,5660,36,0,1,0,1,245,False
1648,3203,912,245,7164,84,18932,36,0,1,0,1,245,False
1649,2010,28,287,5861,0,4353,36,0,1,0,1,245,False
1650,3306,1188,4443,373,75,1294,36,0,1,0,1,245,False
1651,594,176,1905,5151,6,5866,36,0,1,0,1,245,False
1652,175,128,122,2674,0,8972,81,4,1,0,1,15,False
1653,2000,150,248,20748,2,19435,36,0,1,0,1,245,False
1654,4142,332,1550,18559,19,21927,36,0,1,0,1,245,False
1655,2226,192,3766,3989,16,2446,36,0,1,0,1,245,False
1656,2959,73,807,2277,2,6875,36,0,1,0,1,245,False
1657,1194,8500,515,14701,165,28550,36,0,1,0,1,245,False
1658,3701,1530,3927,51051,122,53504,48,0,2,0,1,84,False
1659,527,415,1792,49514,12,49178,36,0,1,0,1,245,False
1660,3306,409,1373,5814,18,15817,36,0,1,0,1,245,False
1661,3520,7564,3906,26990,412,30792,36,0,1,0,1,245,False
1662,2683,242,293,139283,12,56745,36,0,1,0,1,245,False
1663,2683,242,293,139283,12,56745,36,0,1,0,1,245,False
1664,3421,2506,4978,126947,114,287878,53,4,1,0,1,0,False
1665,3612,1346,1040,5655,95,17889,36,0,1,0,1,245,False
1666,716,1158,1177,46859,24,205778,36,0,1,0,1,245,False
1667,311,28,86,1084,0,10293,36,0,1,0,1,245,False
1668,533,2605,1020,27484,12,22343,36,0,1,0,1,245,False
1669,2177,108,422,15776,1,2933,36,0,1,0,1,245,False
1670,2490,4548,4699,493,348,15125,36,0,1,0,1,245,False
1671,1239,53,694,2386,1,1391,36,0,1,0,1,245,False
1672,3494,500,1158,1034,72,6751,36,0,1,0,1,245,False
1673,3001,924,1061,679,53,4916,36,0,1,0,1,245,False
1674,3611,591,2627,20180,25,18326,36,0,1,0,1,245,False
1675,2700,3012,400,197049,153,145493,36,0,1,0,1,245,False
1676,1591,7024,5030,19375,171,42673,48,0,2,0,1,84,False
1677,1884,279,426,17634,0,9248,36,0,1,0,1,245,False
1678,1713,1505,2224,108050,73,137056,36,0,1,0,1,245,False
1679,2704,603,673,27512,15,17347,36,0,1,0,1,245,False
1680,2050,6063,909,2436,92,23401,36,0,1,0,1,245,False
1681,3065,595,2139,6513,23,47699,36,0,1,0,1,245,False
1682,3482,2856,1667,10772,366,38395,36,0,1,0,1,245,False
1683,2950,21418,988,3575,853,136,42,0,1,0,0,0,False
1684,3294,125,147,466,3,9548,36,0,1,0,1,245,False
1685,2677,439,976,9485,15,11564,36,0,1,0,1,245,False
1686,2534,6681,5718,9868,190,33797,68,0,1,0,1,0,False
1687,3624,193,204,13017,22,12117,36,0,1,0,1,245,False
1688,1026,333,559,9556,0,8503,36,0,1,0,1,245,False
1689,3406,103,400,175,5,1212,36,0,1,0,1,245,False
1690,1703,8883,5041,352279,996,505070,36,0,1,0,1,245,False
1691,3548,3158,4119,61633,301,80292,36,0,1,0,1,245,False
1692,3476,1982,920,25232,68,52060,36,0,1,0,1,245,False
1693,2562,1413,572,140073,60,218855,36,0,1,0,1,245,False
1694,3167,759,719,37876,46,27729,36,0,1,0,1,245,False
1695,745,257,70,6994,2,5170,11,0,1,0,0,2,False
1696,2532,1364,4999,89505,49,79451,36,0,1,0,1,245,False
1697,3541,48,255,2252,1,2721,36,0,1,0,1,245,False
1698,1774,120,296,389,0,402,53,0,1,0,3,12,False
1699,3328,40157,44091,29564,400,506642,36,0,1,0,1,245,False
1700,3335,90,515,709,19,1959,36,0,1,0,1,245,False
1701,3358,24,69,53,0,3773,44,0,1,0,0,0,False
1702,3684,144838,1325,19948,4644,122274,36,0,1,0,1,245,False
1703,1771,714,707,388,23,2508,36,0,1,0,1,245,False
1704,992,71,401,6060,1,1222,36,0,1,0,1,245,False
1705,3542,10341,10366,15258,4011,225839,36,0,1,0,1,245,False
1706,3542,10341,10366,15258,4011,225839,36,0,1,0,1,245,False
1707,1311,88,1,9,13,40944,36,0,1,0,1,245,False
1708,1611,730782,252,2284,14628,87089,34,0,1,0,0,245,False
1709,1809,152,413,7444,4,13094,48,0,2,0,1,84,False
1710,829,238,967,4417,13,22851,72,0,1,0,2,3,False
1711,40,3036,4998,12240,5,11858,77,0,1,0,1,1,False
1712,40,3036,4998,12240,5,11858,80,0,1,0,1,1,False
1713,3392,4,47,57,0,4044,50,4,1,0,0,0,False
1714,3270,2057,2968,73558,20,38584,81,4,1,0,1,15,False
1715,910,19,269,336,0,15,53,0,1,0,3,12,False
