id,account_age,no_of_follower,no_of_following,no_user_fav,no_list,no_tweet,num_char,num_digit,num_url,num_hashtag,num_user_mention,num_rt,is_spam
1424,3326,1675812,362,95,2456,196789,54,0,2,2,0,6,False
1425,3356,10784619,19,0,11762,494358,14,0,3,1,0,0,False
1426,3022,1022481,231,14,77,60949,51,0,1,4,0,0,False
1427,1335,1726,255,8,58,28276,18,0,1,2,0,0,False
1428,1792,71102,319,25,463,115208,62,0,1,3,0,2,False
1429,1590,344,374,36416,33,36150,28,0,2,1,1,3,False
1430,3240,943,238,104,12,7790,47,4,1,0,0,0,False
1431,3497,4020480,107,40,2612,291059,26,0,2,1,0,3,False
1432,1831,45,13,0,5,70706,36,0,1,0,0,0,False
1433,282,109,470,10316,0,5069,55,1,1,4,1,11,False
1434,1952,1194,201,4431,16,18363,55,1,1,4,1,11,False
1435,1754,2289,236,20974,10,88240,55,1,1,4,1,11,False
1436,1360,815,399,2669,425,212611,55,1,1,4,1,11,False
1437,935,292,265,116,8,131044,55,1,1,4,1,11,False
1438,829,58,114,324,1,379,55,1,1,4,1,11,False
1439,884,5137,252,2444,26,316197,55,1,1,4,1,11,False
1440,2552,438186,699,22,607,162254,35,0,2,2,0,0,False
1441,2652,970,907,48130,62,71004,55,1,1,4,1,11,False
1442,1250,221,1953,1019,3,2312,55,1,1,4,1,11,False
1443,1503,89200,393,347,342,71958,55,1,1,4,1,11,False
1444,3359,6437171,737,3056,6535,496350,43,0,2,4,0,11,False
1445,3055,386,44,27,5,10855,52,0,2,0,0,0,False
1446,1039,13,214,1,0,7876,40,0,1,0,0,0,False
1447,864,24,154,461,0,339,66,0,1,3,1,3,False
1448,2406,212,2466,1679,0,2022,66,0,1,3,1,3,False
1449,3593,2322,1853,2030,124,27751,78,0,1,0,0,0,False
1450,3511,1883311,379,103,3576,467882,64,0,2,1,0,3,False
1451,3059,290202,2094,5179,2382,176452,86,0,1,0,0,3,False
1452,2532,489,107,16522,89,54841,46,0,1,4,1,1,False
1453,2542,221,471,3213,0,3525,46,1,1,0,0,0,False
1454,1837,10608,542,299,390,56275,44,0,1,4,0,1,False
1455,3359,6437171,737,3056,6535,496350,27,0,2,4,1,1,False
1456,1503,89200,393,347,342,71958,25,0,2,4,0,1,False
1457,2082,498,1032,1627,16,3134,64,0,1,0,0,0,False
1458,1502,1764,3174,75,67,22604,42,0,1,4,1,0,False
1459,3545,210581,316,439,7038,34566,62,2,1,0,1,1,False
1460,3350,2848506,606,17,4466,454653,58,0,1,1,1,2,False
1461,1163,33862,138,3,405,29079,56,0,1,1,0,2,False
1462,2186,216,196,0,23,20427,52,0,2,0,0,0,False
